tas,Year, Month, Country, ISO3, ISO2
-24.424,1991,1,RUS,,
-24.688,1991,2,RUS,,
-18.413,1991,3,RUS,,
-4.94,1991,4,RUS,,
3.97767,1991,5,RUS,,
12.0141,1991,6,RUS,,
15.9245,1991,7,RUS,,
12.553,1991,8,RUS,,
6.45131,1991,9,RUS,,
-3.7302,1991,10,RUS,,
-15.263,1991,11,RUS,,
-24.678,1991,12,RUS,,
-24.074,1992,1,RUS,,
-21.802,1992,2,RUS,,
-15.704,1992,3,RUS,,
-8.0983,1992,4,RUS,,
4.07512,1992,5,RUS,,
10.0165,1992,6,RUS,,
14.0742,1992,7,RUS,,
11.7256,1992,8,RUS,,
4.60157,1992,9,RUS,,
-6.1769,1992,10,RUS,,
-19.852,1992,11,RUS,,
-22.247,1992,12,RUS,,
-23.388,1993,1,RUS,,
-21.047,1993,2,RUS,,
-14.635,1993,3,RUS,,
-6.991,1993,4,RUS,,
3.04309,1993,5,RUS,,
11.3482,1993,6,RUS,,
15.2002,1993,7,RUS,,
11.8253,1993,8,RUS,,
4.65324,1993,9,RUS,,
-5.3286,1993,10,RUS,,
-18.68,1993,11,RUS,,
-24.674,1993,12,RUS,,
-26.86,1994,1,RUS,,
-25.73,1994,2,RUS,,
-15.879,1994,3,RUS,,
-5.8878,1994,4,RUS,,
2.63453,1994,5,RUS,,
11.6042,1994,6,RUS,,
14.745,1994,7,RUS,,
11.6695,1994,8,RUS,,
6.254,1994,9,RUS,,
-2.774,1994,10,RUS,,
-17.821,1994,11,RUS,,
-24.97,1994,12,RUS,,
-23.157,1995,1,RUS,,
-17.9,1995,2,RUS,,
-14.688,1995,3,RUS,,
-4.317,1995,4,RUS,,
3.58711,1995,5,RUS,,
11.5178,1995,6,RUS,,
14.9022,1995,7,RUS,,
13.1909,1995,8,RUS,,
6.16664,1995,9,RUS,,
-3.0643,1995,10,RUS,,
-15.095,1995,11,RUS,,
-22.776,1995,12,RUS,,
-25.888,1996,1,RUS,,
-22.895,1996,2,RUS,,
-15.589,1996,3,RUS,,
-7.003,1996,4,RUS,,
3.65964,1996,5,RUS,,
10.6231,1996,6,RUS,,
15.4756,1996,7,RUS,,
11.2954,1996,8,RUS,,
3.97721,1996,9,RUS,,
-4.6919,1996,10,RUS,,
-14.771,1996,11,RUS,,
-24.649,1996,12,RUS,,
-26.435,1997,1,RUS,,
-23.114,1997,2,RUS,,
-14.225,1997,3,RUS,,
-2.7192,1997,4,RUS,,
4.01318,1997,5,RUS,,
11.2711,1997,6,RUS,,
14.2302,1997,7,RUS,,
12.273,1997,8,RUS,,
5.98242,1997,9,RUS,,
-2.533,1997,10,RUS,,
-18.142,1997,11,RUS,,
-26.242,1997,12,RUS,,
-26.648,1998,1,RUS,,
-24.699,1998,2,RUS,,
-15.729,1998,3,RUS,,
-7.8768,1998,4,RUS,,
2.14899,1998,5,RUS,,
11.924,1998,6,RUS,,
16.1766,1998,7,RUS,,
13.1857,1998,8,RUS,,
4.41219,1998,9,RUS,,
-6.5054,1998,10,RUS,,
-21.326,1998,11,RUS,,
-23.767,1998,12,RUS,,
-26.604,1999,1,RUS,,
-22.179,1999,2,RUS,,
-20.559,1999,3,RUS,,
-6.7433,1999,4,RUS,,
3.15016,1999,5,RUS,,
11.1522,1999,6,RUS,,
15.7157,1999,7,RUS,,
11.733,1999,8,RUS,,
5.43671,1999,9,RUS,,
-4.1598,1999,10,RUS,,
-17.71,1999,11,RUS,,
-21.043,1999,12,RUS,,
-27.145,2000,1,RUS,,
-21.393,2000,2,RUS,,
-14.902,2000,3,RUS,,
-3.8085,2000,4,RUS,,
3.9167,2000,5,RUS,,
12.2672,2000,6,RUS,,
14.9959,2000,7,RUS,,
12.906,2000,8,RUS,,
5.65153,2000,9,RUS,,
-5.506,2000,10,RUS,,
-19.049,2000,11,RUS,,
-26.399,2000,12,RUS,,
-27.76,2001,1,RUS,,
-25.3,2001,2,RUS,,
-16.051,2001,3,RUS,,
-5.8305,2001,4,RUS,,
4.71352,2001,5,RUS,,
12.2908,2001,6,RUS,,
15.8479,2001,7,RUS,,
13.1085,2001,8,RUS,,
5.36224,2001,9,RUS,,
-5.1513,2001,10,RUS,,
-13.681,2001,11,RUS,,
-23.633,2001,12,RUS,,
-24.364,2002,1,RUS,,
-20.835,2002,2,RUS,,
-12.291,2002,3,RUS,,
-5.814,2002,4,RUS,,
3.7754,2002,5,RUS,,
12.3173,2002,6,RUS,,
15.6632,2002,7,RUS,,
12.5121,2002,8,RUS,,
5.54694,2002,9,RUS,,
-4.9717,2002,10,RUS,,
-16.649,2002,11,RUS,,
-26.601,2002,12,RUS,,
-25.162,2003,1,RUS,,
-23.667,2003,2,RUS,,
-14.136,2003,3,RUS,,
-5.2827,2003,4,RUS,,
4.24424,2003,5,RUS,,
11.4289,2003,6,RUS,,
15.405,2003,7,RUS,,
13.5071,2003,8,RUS,,
6.93559,2003,9,RUS,,
-3.3524,2003,10,RUS,,
-17.186,2003,11,RUS,,
-20.327,2003,12,RUS,,
-24.474,2004,1,RUS,,
-23.49,2004,2,RUS,,
-16.203,2004,3,RUS,,
-7.0025,2004,4,RUS,,
3.46668,2004,5,RUS,,
11.2714,2004,6,RUS,,
15.0896,2004,7,RUS,,
12.033,2004,8,RUS,,
6.30879,2004,9,RUS,,
-4.4923,2004,10,RUS,,
-13.708,2004,11,RUS,,
-25.101,2004,12,RUS,,
-22.669,2005,1,RUS,,
-23.929,2005,2,RUS,,
-15.872,2005,3,RUS,,
-5.2725,2005,4,RUS,,
5.2023,2005,5,RUS,,
12.197,2005,6,RUS,,
15.8187,2005,7,RUS,,
12.5172,2005,8,RUS,,
7.48867,2005,9,RUS,,
-2.138,2005,10,RUS,,
-12.892,2005,11,RUS,,
-22.192,2005,12,RUS,,
-28.858,2006,1,RUS,,
-23.882,2006,2,RUS,,
-15.893,2006,3,RUS,,
-8.2763,2006,4,RUS,,
3.7273,2006,5,RUS,,
12.8475,2006,6,RUS,,
15.0907,2006,7,RUS,,
12.3358,2006,8,RUS,,
6.73423,2006,9,RUS,,
-5.1867,2006,10,RUS,,
-15.715,2006,11,RUS,,
-20.941,2006,12,RUS,,
-19.589,2007,1,RUS,,
-25.262,2007,2,RUS,,
-13.895,2007,3,RUS,,
-2.5297,2007,4,RUS,,
4.42001,2007,5,RUS,,
11.4921,2007,6,RUS,,
15.577,2007,7,RUS,,
13.4915,2007,8,RUS,,
6.9845,2007,9,RUS,,
-2.1528,2007,10,RUS,,
-14.517,2007,11,RUS,,
-20.221,2007,12,RUS,,
-24.295,2008,1,RUS,,
-21.211,2008,2,RUS,,
-11.969,2008,3,RUS,,
-5.966,2008,4,RUS,,
4.1084,2008,5,RUS,,
11.9266,2008,6,RUS,,
15.1841,2008,7,RUS,,
12.8733,2008,8,RUS,,
6.04207,2008,9,RUS,,
-1.7298,2008,10,RUS,,
-13.963,2008,11,RUS,,
-21.523,2008,12,RUS,,
-23.736,2009,1,RUS,,
-25.992,2009,2,RUS,,
-15.587,2009,3,RUS,,
-4.375,2009,4,RUS,,
3.55286,2009,5,RUS,,
11.8004,2009,6,RUS,,
14.9325,2009,7,RUS,,
12.4705,2009,8,RUS,,
7.23124,2009,9,RUS,,
-2.8771,2009,10,RUS,,
-17.129,2009,11,RUS,,
-25.876,2009,12,RUS,,
-27.225,2010,1,RUS,,
-26.311,2010,2,RUS,,
-16.306,2010,3,RUS,,
-5.4275,2010,4,RUS,,
5.39618,2010,5,RUS,,
12.2615,2010,6,RUS,,
15.9817,2010,7,RUS,,
13.0018,2010,8,RUS,,
5.85949,2010,9,RUS,,
-3.23,2010,10,RUS,,
-13.582,2010,11,RUS,,
-24.909,2010,12,RUS,,
-24.591,2011,1,RUS,,
-24.632,2011,2,RUS,,
-12.118,2011,3,RUS,,
-2.5789,2011,4,RUS,,
5.00801,2011,5,RUS,,
12.9864,2011,6,RUS,,
15.7366,2011,7,RUS,,
12.7431,2011,8,RUS,,
6.38343,2011,9,RUS,,
-1.7893,2011,10,RUS,,
-15.746,2011,11,RUS,,
-20.514,2011,12,RUS,,
-24.492,2012,1,RUS,,
-23.029,2012,2,RUS,,
-16.695,2012,3,RUS,,
-3.5057,2012,4,RUS,,
5.48897,2012,5,RUS,,
13.4931,2012,6,RUS,,
16.2052,2012,7,RUS,,
12.3321,2012,8,RUS,,
7.25115,2012,9,RUS,,
-3.1225,2012,10,RUS,,
-14.82,2012,11,RUS,,
-24.957,2012,12,RUS,,
-26.332,2013,1,RUS,,
-23.366,2013,2,RUS,,
-17.895,2013,3,RUS,,
-3.9198,2013,4,RUS,,
5.44429,2013,5,RUS,,
12.5104,2013,6,RUS,,
15.6622,2013,7,RUS,,
13.1955,2013,8,RUS,,
5.5992,2013,9,RUS,,
-3.901,2013,10,RUS,,
-11.675,2013,11,RUS,,
-19.114,2013,12,RUS,,
-27.619,2014,1,RUS,,
-23.915,2014,2,RUS,,
-11.971,2014,3,RUS,,
-2.9937,2014,4,RUS,,
4.70376,2014,5,RUS,,
12.0325,2014,6,RUS,,
14.8661,2014,7,RUS,,
13.3553,2014,8,RUS,,
5.78677,2014,9,RUS,,
-4.9611,2014,10,RUS,,
-16.439,2014,11,RUS,,
-21.636,2014,12,RUS,,
-23.978,2015,1,RUS,,
-19.974,2015,2,RUS,,
-13.034,2015,3,RUS,,
-4.53,2015,4,RUS,,
4.72303,2015,5,RUS,,
12.9886,2015,6,RUS,,
15.1385,2015,7,RUS,,
12.5111,2015,8,RUS,,
6.64602,2015,9,RUS,,
-4.1227,2015,10,RUS,,
-16.051,2015,11,RUS,,
-20.428,2015,12,RUS,,
